sample,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies,body_reconstructions
196,4,2,256,314,100,100,0
197,4,2,256,314,100,100,0
198,4,2,256,314,100,100,0
199,4,2,256,314,100,100,0
200,4,2,256,314,100,100,0
201,4,2,256,314,100,100,0
202,4,2,256,314,100,100,0
203,4,2,256,314,100,100,0
204,4,2,256,314,100,100,0
205,4,2,256,314,100,100,0
206,4,2,256,314,100,100,0
207,4,2,256,314,100,100,0
208,4,2,256,314,100,100,0
209,4,2,256,314,100,100,0
210,4,2,256,314,100,100,0
211,4,2,256,314,100,100,0
212,4,2,256,314,100,100,0
213,4,2,256,314,100,100,0
214,4,2,256,314,100,100,0
215,4,2,256,314,100,100,0
216,4,2,256,314,100,100,0
217,4,2,256,314,100,100,0
218,4,2,256,314,100,100,0
219,4,2,256,314,100,100,0
220,4,2,256,314,100,100,0
221,4,2,256,314,100,100,0
222,4,2,256,314,100,100,0
223,4,2,256,314,100,100,0
224,4,2,256,314,100,100,0
225,4,2,256,314,100,100,0
226,4,2,256,314,100,100,0
227,4,2,256,314,100,100,0
228,4,2,256,314,100,100,0
229,4,2,256,314,100,100,0
230,4,2,256,314,100,100,0
231,4,2,256,314,100,100,0
232,4,2,256,314,100,100,0
233,4,2,256,314,100,100,0
234,4,2,256,314,100,100,0
235,4,2,256,314,100,100,0
236,4,2,256,314,100,100,0
237,4,2,256,314,100,100,0
238,4,2,256,314,100,100,0
239,4,2,256,314,100,100,0
240,4,2,256,314,100,100,0
241,4,2,256,314,100,100,0
242,4,2,256,314,100,100,0
243,4,2,256,314,100,100,0
244,4,2,256,314,100,100,0
245,4,2,256,314,100,100,0
246,4,2,256,314,100,100,0
247,4,2,256,314,100,100,0
248,4,2,256,314,100,100,0
249,4,2,256,314,100,100,0
250,4,2,256,314,100,100,0
251,4,2,256,314,100,100,0
252,4,2,256,314,100,100,0
253,4,2,256,314,100,100,0
254,4,2,256,314,100,100,0
255,4,2,256,314,100,100,0
256,4,2,256,314,100,100,0
257,4,2,256,314,100,100,0
258,4,2,256,314,100,100,0
259,4,2,256,314,100,100,0
260,4,2,256,314,100,100,0
261,4,2,256,314,100,100,0
262,4,2,256,314,100,100,0
263,4,2,256,314,100,100,0
264,4,2,256,314,100,100,0
265,4,2,256,314,100,100,0
