sample,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies,body_reconstructions
851,4,2,256,314,100,100,0
852,4,2,256,314,100,100,0
853,4,2,256,314,100,100,0
854,4,2,256,314,100,100,0
855,4,2,256,314,100,100,0
856,4,2,256,314,100,100,0
857,4,2,256,314,100,100,0
858,4,2,256,314,100,100,0
859,4,2,256,314,100,100,0
860,4,2,256,314,100,100,0
861,4,2,256,314,100,100,0
862,4,2,256,314,100,100,0
863,4,2,256,314,100,100,0
864,4,2,256,314,100,100,0
865,4,2,256,314,100,100,0
866,4,2,256,314,100,100,0
867,4,2,256,314,100,100,0
868,4,2,256,314,100,100,0
869,4,2,256,314,100,100,0
870,4,2,256,314,100,100,0
871,4,2,256,314,100,100,0
872,4,2,256,314,100,100,0
873,4,2,256,314,100,100,0
874,4,2,256,314,100,100,0
875,4,2,256,314,100,100,0
876,4,2,256,314,100,100,0
877,4,2,256,314,100,100,0
878,4,2,256,314,100,100,0
879,4,2,256,314,100,100,0
880,4,2,256,314,100,100,0
881,4,2,256,314,100,100,0
882,4,2,256,314,100,100,0
883,4,2,256,314,100,100,0
884,4,2,256,314,100,100,0
885,4,2,256,314,100,100,0
886,4,2,256,314,100,100,0
887,4,2,256,314,100,100,0
888,4,2,256,314,100,100,0
889,4,2,256,314,100,100,0
890,4,2,256,314,100,100,0
891,4,2,256,314,100,100,0
892,4,2,256,314,100,100,0
893,4,2,256,314,100,100,0
894,4,2,256,314,100,100,0
895,4,2,256,314,100,100,0
896,4,2,256,314,100,100,0
897,4,2,256,314,100,100,0
898,4,2,256,314,100,100,0
899,4,2,256,314,100,100,0
900,4,2,256,314,100,100,0
901,4,2,256,314,100,100,0
902,4,2,256,314,100,100,0
903,4,2,256,314,100,100,0
904,4,2,256,314,100,100,0
905,4,2,256,314,100,100,0
906,4,2,256,314,100,100,0
907,4,2,256,314,100,100,0
908,4,2,256,314,100,100,0
909,4,2,256,314,100,100,0
910,4,2,256,314,100,100,0
911,4,2,256,314,100,100,0
912,4,2,256,314,100,100,0
913,4,2,256,314,100,100,0
914,4,2,256,314,100,100,0
915,4,2,256,314,100,100,0
916,4,2,256,314,100,100,0
917,4,2,256,314,100,100,0
918,4,2,256,314,100,100,0
919,4,2,256,314,100,100,0
920,4,2,256,314,100,100,0
921,4,2,256,314,100,100,0
922,4,2,256,314,100,100,0
923,4,2,256,314,100,100,0
924,4,2,256,314,100,100,0
925,4,2,256,314,100,100,0
926,4,2,256,314,100,100,0
927,4,2,256,314,100,100,0
928,4,2,256,314,100,100,0
929,4,2,256,314,100,100,0
930,4,2,256,314,100,100,0
931,4,2,256,314,100,100,0
932,4,2,256,314,100,100,0
933,4,2,256,314,100,100,0
934,4,2,256,314,100,100,0
935,4,2,256,314,100,100,0
936,4,2,256,314,100,100,0
937,4,2,256,314,100,100,0
938,4,2,256,314,100,100,0
939,4,2,256,314,100,100,0
940,4,2,256,314,100,100,0
941,4,2,256,314,100,100,0
942,4,2,256,314,100,100,0
943,4,2,256,314,100,100,0
944,4,2,256,314,100,100,0
945,4,2,256,314,100,100,0
946,4,2,256,314,100,100,0
947,4,2,256,314,100,100,0
948,4,2,256,314,100,100,0
949,4,2,256,314,100,100,0
950,4,2,256,314,100,100,0
951,4,2,256,314,100,100,0
952,4,2,256,314,100,100,0
953,4,2,256,314,100,100,0
954,4,2,256,314,100,100,0
955,4,2,256,314,100,100,0
956,4,2,256,314,100,100,0
957,4,2,256,314,100,100,0
958,4,2,256,314,100,100,0
959,4,2,256,314,100,100,0
960,4,2,256,314,100,100,0
961,4,2,256,314,100,100,0
962,4,2,256,314,100,100,0
963,4,2,256,314,100,100,0
964,4,2,256,314,100,100,0
965,4,2,256,314,100,100,0
966,4,2,256,314,100,100,0
967,4,2,256,314,100,100,0
968,4,2,256,314,100,100,0
969,4,2,256,314,100,100,0
970,4,2,256,314,100,100,0
971,4,2,256,314,100,100,0
972,4,2,256,314,100,100,0
973,4,2,256,314,100,100,0
974,4,2,256,314,100,100,0
975,4,2,256,314,100,100,0
976,4,2,256,314,100,100,0
977,4,2,256,314,100,100,0
978,4,2,256,314,100,100,0
979,4,2,256,314,100,100,0
980,4,2,256,314,100,100,0
981,4,2,256,314,100,100,0
982,4,2,256,314,100,100,0
983,4,2,256,314,100,100,0
984,4,2,256,314,100,100,0
985,4,2,256,314,100,100,0
986,4,2,256,314,100,100,0
987,4,2,256,314,100,100,0
988,4,2,256,314,100,100,0
989,4,2,256,314,100,100,0
990,4,2,256,314,100,100,0
991,4,2,256,314,100,100,0
992,4,2,256,314,100,100,0
993,4,2,256,314,100,100,0
994,4,2,256,314,100,100,0
995,4,2,256,314,100,100,0
996,4,2,256,314,100,100,0
997,4,2,256,314,100,100,0
998,4,2,256,314,100,100,0
999,4,2,256,314,100,100,0
