sample,duration_ns,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies
184,5600,4,2,256,314,100,100
185,5600,4,2,256,314,100,100
186,5500,4,2,256,314,100,100
187,5600,4,2,256,314,100,100
188,5600,4,2,256,314,100,100
189,5500,4,2,256,314,100,100
190,5600,4,2,256,314,100,100
191,5500,4,2,256,314,100,100
192,5700,4,2,256,314,100,100
193,5500,4,2,256,314,100,100
194,5600,4,2,256,314,100,100
195,5500,4,2,256,314,100,100
196,5500,4,2,256,314,100,100
197,5600,4,2,256,314,100,100
198,5700,4,2,256,314,100,100
199,5500,4,2,256,314,100,100
200,5500,4,2,256,314,100,100
201,5600,4,2,256,314,100,100
202,5600,4,2,256,314,100,100
203,5700,4,2,256,314,100,100
204,5600,4,2,256,314,100,100
205,5500,4,2,256,314,100,100
206,5600,4,2,256,314,100,100
207,5600,4,2,256,314,100,100
208,5600,4,2,256,314,100,100
209,5500,4,2,256,314,100,100
210,5600,4,2,256,314,100,100
211,5600,4,2,256,314,100,100
212,6800,4,2,256,314,100,100
213,5300,4,2,256,314,100,100
214,5400,4,2,256,314,100,100
215,5200,4,2,256,314,100,100
216,5400,4,2,256,314,100,100
217,5100,4,2,256,314,100,100
218,5300,4,2,256,314,100,100
219,5200,4,2,256,314,100,100
220,5200,4,2,256,314,100,100
221,5100,4,2,256,314,100,100
222,5100,4,2,256,314,100,100
223,5100,4,2,256,314,100,100
224,5200,4,2,256,314,100,100
225,5100,4,2,256,314,100,100
226,5200,4,2,256,314,100,100
227,5000,4,2,256,314,100,100
228,5200,4,2,256,314,100,100
229,5100,4,2,256,314,100,100
230,5100,4,2,256,314,100,100
231,5000,4,2,256,314,100,100
232,5100,4,2,256,314,100,100
233,5200,4,2,256,314,100,100
234,5200,4,2,256,314,100,100
235,5000,4,2,256,314,100,100
236,5200,4,2,256,314,100,100
237,5000,4,2,256,314,100,100
238,5100,4,2,256,314,100,100
239,5100,4,2,256,314,100,100
240,5100,4,2,256,314,100,100
241,5200,4,2,256,314,100,100
242,5100,4,2,256,314,100,100
243,5100,4,2,256,314,100,100
244,9800,4,2,256,314,100,100
245,5200,4,2,256,314,100,100
246,5200,4,2,256,314,100,100
247,5000,4,2,256,314,100,100
248,5200,4,2,256,314,100,100
249,5100,4,2,256,314,100,100
250,5100,4,2,256,314,100,100
251,5100,4,2,256,314,100,100
252,5100,4,2,256,314,100,100
253,5000,4,2,256,314,100,100
254,5100,4,2,256,314,100,100
255,5100,4,2,256,314,100,100
256,5200,4,2,256,314,100,100
257,5100,4,2,256,314,100,100
258,5100,4,2,256,314,100,100
259,5100,4,2,256,314,100,100
260,5100,4,2,256,314,100,100
261,5100,4,2,256,314,100,100
262,5100,4,2,256,314,100,100
263,5200,4,2,256,314,100,100
264,5200,4,2,256,314,100,100
265,5100,4,2,256,314,100,100
266,5100,4,2,256,314,100,100
267,5200,4,2,256,314,100,100
268,5100,4,2,256,314,100,100
269,5100,4,2,256,314,100,100
270,5100,4,2,256,314,100,100
271,5100,4,2,256,314,100,100
272,5200,4,2,256,314,100,100
273,5000,4,2,256,314,100,100
274,5200,4,2,256,314,100,100
275,5100,4,2,256,314,100,100
276,5100,4,2,256,314,100,100
277,5100,4,2,256,314,100,100
278,5200,4,2,256,314,100,100
279,5200,4,2,256,314,100,100
