sample,duration_ns,candidate_bodies_scanned,inactive_bodies_skipped,changed_bodies
0,5600,100,9900,100
1,5500,100,9900,100
2,5600,100,9900,100
3,5600,100,9900,100
4,5600,100,9900,100
5,5400,100,9900,100
6,5500,100,9900,100
7,5600,100,9900,100
8,5700,100,9900,100
9,5500,100,9900,100
10,5700,100,9900,100
11,5500,100,9900,100
12,5600,100,9900,100
13,5600,100,9900,100
14,5700,100,9900,100
15,5400,100,9900,100
16,5600,100,9900,100
17,5500,100,9900,100
18,5600,100,9900,100
19,5600,100,9900,100
20,5500,100,9900,100
21,5500,100,9900,100
22,5500,100,9900,100
23,5500,100,9900,100
24,5600,100,9900,100
25,5500,100,9900,100
26,5600,100,9900,100
27,5500,100,9900,100
28,5700,100,9900,100
29,5500,100,9900,100
30,5500,100,9900,100
31,5500,100,9900,100
32,5700,100,9900,100
33,5500,100,9900,100
34,5600,100,9900,100
35,5500,100,9900,100
36,5500,100,9900,100
37,5500,100,9900,100
38,5600,100,9900,100
39,5500,100,9900,100
40,5600,100,9900,100
41,5500,100,9900,100
42,5600,100,9900,100
43,5500,100,9900,100
44,5700,100,9900,100
45,5400,100,9900,100
46,5600,100,9900,100
47,5600,100,9900,100
48,5600,100,9900,100
49,5500,100,9900,100
50,5700,100,9900,100
51,5600,100,9900,100
52,5500,100,9900,100
53,5500,100,9900,100
54,5700,100,9900,100
55,5600,100,9900,100
56,5600,100,9900,100
57,5500,100,9900,100
58,5600,100,9900,100
59,5500,100,9900,100
60,5600,100,9900,100
61,5600,100,9900,100
62,5600,100,9900,100
63,5500,100,9900,100
64,5600,100,9900,100
65,5500,100,9900,100
66,5600,100,9900,100
67,5500,100,9900,100
68,5600,100,9900,100
69,5500,100,9900,100
70,5600,100,9900,100
71,5600,100,9900,100
72,5500,100,9900,100
73,5500,100,9900,100
74,5600,100,9900,100
75,5700,100,9900,100
76,5500,100,9900,100
77,5500,100,9900,100
78,5600,100,9900,100
79,5500,100,9900,100
80,5500,100,9900,100
81,5600,100,9900,100
82,5700,100,9900,100
83,5500,100,9900,100
84,5600,100,9900,100
85,5500,100,9900,100
86,5700,100,9900,100
87,5500,100,9900,100
88,5600,100,9900,100
89,5500,100,9900,100
90,5600,100,9900,100
91,5600,100,9900,100
92,5600,100,9900,100
93,5600,100,9900,100
94,5500,100,9900,100
95,5600,100,9900,100
96,5500,100,9900,100
97,5500,100,9900,100
98,5600,100,9900,100
99,5500,100,9900,100
100,5700,100,9900,100
101,5600,100,9900,100
102,5600,100,9900,100
103,5600,100,9900,100
104,5600,100,9900,100
105,5600,100,9900,100
106,5700,100,9900,100
107,5500,100,9900,100
108,5600,100,9900,100
