sample,duration_ns,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies
0,5600,4,2,256,314,100,100
1,5500,4,2,256,314,100,100
2,5500,4,2,256,314,100,100
3,5400,4,2,256,314,100,100
4,5500,4,2,256,314,100,100
5,5500,4,2,256,314,100,100
6,5500,4,2,256,314,100,100
7,5500,4,2,256,314,100,100
8,5600,4,2,256,314,100,100
9,6600,4,2,256,314,100,100
10,5500,4,2,256,314,100,100
11,6600,4,2,256,314,100,100
12,5600,4,2,256,314,100,100
13,5500,4,2,256,314,100,100
14,5500,4,2,256,314,100,100
15,5500,4,2,256,314,100,100
16,5600,4,2,256,314,100,100
17,7500,4,2,256,314,100,100
18,9300,4,2,256,314,100,100
19,8600,4,2,256,314,100,100
20,5700,4,2,256,314,100,100
21,6900,4,2,256,314,100,100
22,5500,4,2,256,314,100,100
23,5500,4,2,256,314,100,100
24,5600,4,2,256,314,100,100
25,5500,4,2,256,314,100,100
26,5500,4,2,256,314,100,100
27,5600,4,2,256,314,100,100
28,5600,4,2,256,314,100,100
29,5500,4,2,256,314,100,100
30,5500,4,2,256,314,100,100
31,5500,4,2,256,314,100,100
32,5600,4,2,256,314,100,100
33,5600,4,2,256,314,100,100
34,5600,4,2,256,314,100,100
35,5500,4,2,256,314,100,100
36,5500,4,2,256,314,100,100
37,5500,4,2,256,314,100,100
38,5500,4,2,256,314,100,100
39,5500,4,2,256,314,100,100
40,5500,4,2,256,314,100,100
41,5400,4,2,256,314,100,100
42,5500,4,2,256,314,100,100
43,5500,4,2,256,314,100,100
44,5600,4,2,256,314,100,100
45,5500,4,2,256,314,100,100
46,6800,4,2,256,314,100,100
47,5500,4,2,256,314,100,100
48,5500,4,2,256,314,100,100
49,5500,4,2,256,314,100,100
50,5600,4,2,256,314,100,100
51,5500,4,2,256,314,100,100
52,5600,4,2,256,314,100,100
53,5500,4,2,256,314,100,100
54,5600,4,2,256,314,100,100
55,6700,4,2,256,314,100,100
56,5600,4,2,256,314,100,100
57,5500,4,2,256,314,100,100
58,5500,4,2,256,314,100,100
59,5400,4,2,256,314,100,100
60,5600,4,2,256,314,100,100
61,5500,4,2,256,314,100,100
62,5600,4,2,256,314,100,100
63,5600,4,2,256,314,100,100
64,10000,4,2,256,314,100,100
65,8400,4,2,256,314,100,100
66,8500,4,2,256,314,100,100
67,8500,4,2,256,314,100,100
68,8400,4,2,256,314,100,100
69,8500,4,2,256,314,100,100
70,8600,4,2,256,314,100,100
71,8500,4,2,256,314,100,100
72,8700,4,2,256,314,100,100
73,8600,4,2,256,314,100,100
74,6600,4,2,256,314,100,100
75,5700,4,2,256,314,100,100
76,6900,4,2,256,314,100,100
77,5500,4,2,256,314,100,100
78,5500,4,2,256,314,100,100
79,5600,4,2,256,314,100,100
80,5600,4,2,256,314,100,100
81,5600,4,2,256,314,100,100
82,5600,4,2,256,314,100,100
83,5500,4,2,256,314,100,100
84,5600,4,2,256,314,100,100
85,5500,4,2,256,314,100,100
86,5500,4,2,256,314,100,100
87,5400,4,2,256,314,100,100
88,5500,4,2,256,314,100,100
89,5500,4,2,256,314,100,100
90,5400,4,2,256,314,100,100
91,5500,4,2,256,314,100,100
92,5600,4,2,256,314,100,100
93,5400,4,2,256,314,100,100
94,5500,4,2,256,314,100,100
95,5400,4,2,256,314,100,100
96,5600,4,2,256,314,100,100
97,5500,4,2,256,314,100,100
98,5500,4,2,256,314,100,100
99,5500,4,2,256,314,100,100
100,5500,4,2,256,314,100,100
101,5600,4,2,256,314,100,100
102,6700,4,2,256,314,100,100
103,5500,4,2,256,314,100,100
104,6700,4,2,256,314,100,100
105,5600,4,2,256,314,100,100
106,5600,4,2,256,314,100,100
107,5500,4,2,256,314,100,100
108,5400,4,2,256,314,100,100
109,5500,4,2,256,314,100,100
110,5500,4,2,256,314,100,100
111,5400,4,2,256,314,100,100
112,5500,4,2,256,314,100,100
113,5400,4,2,256,314,100,100
114,5500,4,2,256,314,100,100
115,5500,4,2,256,314,100,100
116,5600,4,2,256,314,100,100
117,5500,4,2,256,314,100,100
118,5500,4,2,256,314,100,100
119,5600,4,2,256,314,100,100
120,5500,4,2,256,314,100,100
121,5500,4,2,256,314,100,100
122,5700,4,2,256,314,100,100
123,5400,4,2,256,314,100,100
124,5500,4,2,256,314,100,100
125,5500,4,2,256,314,100,100
126,5500,4,2,256,314,100,100
127,5500,4,2,256,314,100,100
128,6700,4,2,256,314,100,100
129,5400,4,2,256,314,100,100
130,5500,4,2,256,314,100,100
131,5600,4,2,256,314,100,100
132,5600,4,2,256,314,100,100
133,5500,4,2,256,314,100,100
134,5600,4,2,256,314,100,100
135,5500,4,2,256,314,100,100
136,5500,4,2,256,314,100,100
137,5400,4,2,256,314,100,100
138,5600,4,2,256,314,100,100
139,5500,4,2,256,314,100,100
140,5500,4,2,256,314,100,100
141,5400,4,2,256,314,100,100
142,5600,4,2,256,314,100,100
143,5400,4,2,256,314,100,100
144,5500,4,2,256,314,100,100
145,5500,4,2,256,314,100,100
146,5700,4,2,256,314,100,100
147,5500,4,2,256,314,100,100
148,5600,4,2,256,314,100,100
149,5400,4,2,256,314,100,100
150,5500,4,2,256,314,100,100
151,5600,4,2,256,314,100,100
152,6900,4,2,256,314,100,100
153,5500,4,2,256,314,100,100
154,5600,4,2,256,314,100,100
155,5600,4,2,256,314,100,100
156,5600,4,2,256,314,100,100
157,5400,4,2,256,314,100,100
158,5600,4,2,256,314,100,100
159,5400,4,2,256,314,100,100
160,5600,4,2,256,314,100,100
161,5600,4,2,256,314,100,100
162,5600,4,2,256,314,100,100
163,5500,4,2,256,314,100,100
164,5700,4,2,256,314,100,100
165,5600,4,2,256,314,100,100
166,5500,4,2,256,314,100,100
167,5600,4,2,256,314,100,100
168,5600,4,2,256,314,100,100
169,5400,4,2,256,314,100,100
170,6700,4,2,256,314,100,100
171,5500,4,2,256,314,100,100
172,5500,4,2,256,314,100,100
